id,EDA,TEMP,BVP,HR
S11,4.0,4.0,64.0,1.0
S11,0.0,27.25,-0.0,52.0
S11,0.120438,27.25,-0.0,56.0
S11,0.169126,27.25,-0.0,55.67
S11,0.166563,27.25,-0.0,55.75
S11,0.167844,27.25,-0.0,57.4
S11,0.169126,27.25,-0.0,57.0
S11,0.169126,27.25,-0.0,56.43
S11,0.169126,27.25,-0.0,55.62
S11,0.170407,27.23,-0.0,54.89
S11,0.170407,27.23,-0.0,54.3
S11,0.171688,27.23,0.0,54.0
S11,0.171688,27.23,0.01,53.92
S11,0.171688,27.21,0.01,53.62
S11,0.172969,27.21,-0.0,53.36
S11,0.172969,27.21,-0.03,53.13
S11,0.175532,27.21,-0.05,53.0
S11,0.172969,27.25,-0.05,52.88
S11,0.172969,27.25,0.0,52.89
S11,0.172969,27.25,0.13,53.05
S11,0.174251,27.25,0.36,53.4
S11,0.176813,27.23,0.66,53.86
S11,0.175532,27.23,1.01,54.27
S11,0.175532,27.23,1.37,54.52
S11,0.176813,27.23,1.72,54.75
S11,0.175532,27.21,2.06,54.84
S11,0.175532,27.21,2.4,55.0
S11,0.175532,27.21,2.79,55.04
S11,0.176813,27.21,3.24,54.96
S11,0.176813,27.21,3.8,55.34
S11,0.176813,27.21,4.42,55.77
S11,0.176813,27.21,5.06,56.35
S11,0.175532,27.21,5.66,57.03
S11,0.175532,27.23,6.2,57.82
S11,0.176813,27.23,6.68,58.5
S11,0.175532,27.23,7.15,59.17
S11,0.175532,27.23,7.68,59.97
S11,0.176813,27.23,8.31,60.68
S11,0.175532,27.23,9.14,61.32
S11,0.175532,27.23,10.09,61.97
S11,0.175532,27.23,11.04,62.6
S11,0.176813,27.19,11.88,63.22
S11,0.176813,27.19,12.56,63.88
S11,0.176813,27.19,13.14,64.49
S11,0.175532,27.19,13.76,65.07
S11,0.176813,27.21,14.65,65.62
S11,0.175532,27.21,15.96,66.11
S11,0.176813,27.21,17.91,66.64
S11,0.176813,27.21,20.32,67.12
S11,0.180657,27.23,22.9,67.61
S11,0.176813,27.23,25.38,68.08
S11,0.176813,27.23,27.58,68.55
S11,0.175532,27.23,29.57,68.98
S11,0.174251,27.21,31.68,69.4
S11,0.175532,27.21,34.32,69.85
S11,0.178094,27.21,37.81,70.33
S11,0.176813,27.21,42.54,70.71
S11,0.176813,27.23,48.15,71.16
S11,0.175532,27.23,54.1,71.57
S11,0.176813,27.23,59.83,72.02
S11,0.179376,27.23,64.97,72.45
S11,0.176813,27.21,69.58,73.22
S11,0.176813,27.21,74.14,73.77
S11,0.178094,27.21,79.34,74.4
S11,0.176813,27.21,85.71,75.0
S11,0.178094,27.23,93.76,75.38
S11,0.178094,27.23,103.0,75.82
S11,0.185782,27.23,112.62,76.27
S11,0.185782,27.23,121.73,76.78
S11,0.183219,27.25,129.77,77.28
S11,0.183219,27.25,136.75,77.78
S11,0.187063,27.25,143.3,78.23
S11,0.181938,27.25,150.75,78.6
S11,0.181938,27.23,157.77,79.02
S11,0.183219,27.23,166.64,79.43
S11,0.181938,27.23,177.95,79.85
S11,0.180657,27.23,191.79,80.25
S11,0.181938,27.25,206.97,80.62
S11,0.181938,27.25,220.57,80.92
S11,0.181938,27.25,228.25,81.1
S11,0.183219,27.25,225.36,81.37
S11,0.181938,27.23,208.53,81.6
S11,0.181938,27.23,176.87,81.85
S11,0.187063,27.23,132.76,82.1
S11,0.181938,27.23,80.05,82.35
S11,0.183219,27.25,23.07,82.53
S11,0.180657,27.25,-34.94,82.72
S11,0.181938,27.25,-92.44,82.97
S11,0.183219,27.25,-149.16,83.27
S11,0.183219,27.25,-205.23,83.37
S11,0.181938,27.25,-260.37,83.45
S11,0.183219,27.25,-313.74,83.48
S11,0.183219,27.25,-363.87,83.43
S11,0.181938,27.27,-409.83,83.25
S11,0.181938,27.27,-450.91,83.08
S11,0.181938,27.27,-486.5,82.85
S11,0.180657,27.27,-515.74,82.5
S11,0.180657,27.27,-537.23,82.15
S11,0.181938,27.27,-549.22,81.85
S11,0.180657,27.27,-549.96,81.48
S11,0.183219,27.27,-538.37,81.18
S11,0.181938,27.23,-514.21,80.88
S11,0.181938,27.23,-478.67,80.52
S11,0.183219,27.23,-433.88,80.2
S11,0.181938,27.23,-382.45,79.88
S11,0.183219,27.27,-327.02,79.62
S11,0.180657,27.27,-269.84,79.35
S11,0.180657,27.27,-212.63,79.02
S11,0.181938,27.27,-156.66,78.77
S11,0.181938,27.23,-102.95,78.75
S11,0.180657,27.23,-52.38,78.72
S11,0.180657,27.23,-5.91,78.65
S11,0.180657,27.23,35.58,78.6
S11,0.181938,27.27,71.43,78.57
S11,0.181938,27.27,101.36,78.5
S11,0.181938,27.27,125.51,78.38
S11,0.181938,27.27,144.4,78.35
S11,0.181938,27.27,158.73,78.25
S11,0.180657,27.27,169.2,78.17
S11,0.180657,27.27,176.44,78.03
S11,0.183219,27.27,180.85,77.9
S11,0.180657,27.25,182.71,77.77
S11,0.183219,27.25,182.25,77.72
S11,0.181938,27.25,179.73,77.65
S11,0.181938,27.25,175.5,77.6
S11,0.184501,27.27,169.98,77.62
S11,0.183219,27.27,163.56,77.72
S11,0.183219,27.27,156.58,77.85
S11,0.181938,27.27,149.3,77.97
S11,0.183219,27.27,141.85,78.13
S11,0.183219,27.27,134.31,78.32
S11,0.183219,27.27,126.7,78.55
